fold,k,Code,observations,long_days,short_days,long_rate,short_rate
0,10,91040,58,0,0,0.0,0.0
0,10,91070,58,0,0,0.0,0.0
0,10,94320,58,0,0,0.0,0.0
0,10,94330,58,0,0,0.0,0.0
0,10,95010,58,0,0,0.0,0.0
0,10,99830,58,0,0,0.0,0.0
0,10,99840,58,0,0,0.0,0.0
1,10,24320,57,0,0,0.0,0.0
1,10,29140,57,0,0,0.0,0.0
1,10,33500,57,0,0,0.0,0.0
1,10,33820,57,0,0,0.0,0.0
1,10,40630,57,0,0,0.0,0.0
1,10,43850,57,0,0,0.0,0.0
1,10,45020,57,0,0,0.0,0.0
1,10,45190,57,57,0,1.0,0.0
1,10,45680,57,0,57,0.0,1.0
1,10,46610,57,0,57,0.0,1.0
1,10,47550,57,0,0,0.0,0.0
1,10,54010,57,57,0,1.0,0.0
1,10,58010,57,0,0,0.0,0.0
1,10,58030,57,0,0,0.0,0.0
1,10,60980,57,0,0,0.0,0.0
1,10,61460,57,0,0,0.0,0.0
1,10,62730,57,0,0,0.0,0.0
1,10,63670,57,0,0,0.0,0.0
1,10,65010,57,57,0,1.0,0.0
1,10,65030,57,0,57,0.0,1.0
1,10,65260,57,0,0,0.0,0.0
1,10,65940,57,0,0,0.0,0.0
1,10,67010,57,0,0,0.0,0.0
1,10,67020,57,0,0,0.0,0.0
1,10,67230,57,57,0,1.0,0.0
1,10,67580,57,0,0,0.0,0.0
1,10,67620,57,0,0,0.0,0.0
1,10,68570,57,57,0,1.0,0.0
1,10,68610,57,0,57,0.0,1.0
1,10,69020,57,0,0,0.0,0.0
1,10,69200,57,0,0,0.0,0.0
1,10,69540,57,0,0,0.0,0.0
1,10,69810,57,0,57,0.0,1.0
1,10,70030,57,0,0,0.0,0.0
1,10,70110,57,0,0,0.0,0.0
1,10,70120,57,0,0,0.0,0.0
1,10,70130,57,0,0,0.0,0.0
1,10,72010,57,0,0,0.0,0.0
1,10,72030,57,0,0,0.0,0.0
1,10,72670,57,57,0,1.0,0.0
1,10,74530,57,0,57,0.0,1.0
1,10,77350,57,0,0,0.0,0.0
1,10,77410,57,57,0,1.0,0.0
1,10,77510,57,0,57,0.0,1.0
1,10,79360,57,0,0,0.0,0.0
1,10,79740,57,0,57,0.0,1.0
1,10,80010,57,0,0,0.0,0.0
1,10,80310,57,0,0,0.0,0.0
1,10,80350,57,0,0,0.0,0.0
1,10,80580,57,0,0,0.0,0.0
1,10,81360,57,0,0,0.0,0.0
1,10,83060,57,57,0,1.0,0.0
1,10,83160,57,57,0,1.0,0.0
1,10,84110,57,0,0,0.0,0.0
1,10,87250,57,0,57,0.0,1.0
1,10,87660,57,0,0,0.0,0.0
1,10,91010,57,0,0,0.0,0.0
1,10,91040,57,0,0,0.0,0.0
1,10,91070,57,0,0,0.0,0.0
1,10,94320,57,0,0,0.0,0.0
1,10,94330,57,0,0,0.0,0.0
1,10,95010,57,0,0,0.0,0.0
1,10,99830,57,57,0,1.0,0.0
1,10,99840,57,0,57,0.0,1.0
0,20,24320,58,0,58,0.0,1.0
0,20,29140,58,2,0,0.034482758620689655,0.0
0,20,33500,58,0,5,0.0,0.08620689655172414
0,20,33820,58,58,0,1.0,0.0
0,20,40630,58,58,0,1.0,0.0
0,20,43850,58,0,58,0.0,1.0
0,20,45020,58,0,39,0.0,0.6724137931034483
0,20,45190,58,0,1,0.0,0.017241379310344827
0,20,45680,58,0,57,0.0,0.9827586206896551
0,20,46610,58,58,0,1.0,0.0
0,20,47550,58,58,0,1.0,0.0
0,20,54010,58,58,0,1.0,0.0
0,20,58010,58,0,0,0.0,0.0
0,20,58030,58,0,0,0.0,0.0
0,20,60980,58,1,0,0.017241379310344827,0.0
0,20,61460,58,0,58,0.0,1.0
0,20,62730,58,0,58,0.0,1.0
0,20,63670,58,0,56,0.0,0.9655172413793104
0,20,65010,58,58,0,1.0,0.0
0,20,65030,58,32,0,0.5517241379310345,0.0
0,20,65260,58,0,2,0.0,0.034482758620689655
0,20,65940,58,0,58,0.0,1.0
0,20,67010,58,58,0,1.0,0.0
0,20,67020,58,0,0,0.0,0.0
0,20,67230,58,0,0,0.0,0.0
0,20,67580,58,0,58,0.0,1.0
0,20,67620,58,0,0,0.0,0.0
0,20,68570,58,10,0,0.1724137931034483,0.0
0,20,68610,58,58,0,1.0,0.0
0,20,69020,58,0,58,0.0,1.0
0,20,69200,58,58,0,1.0,0.0
0,20,69540,58,0,13,0.0,0.22413793103448276
0,20,69810,58,57,0,0.9827586206896551,0.0
0,20,70030,58,0,21,0.0,0.3620689655172414
0,20,70110,58,0,55,0.0,0.9482758620689655
0,20,70120,58,0,58,0.0,1.0
0,20,70130,58,0,58,0.0,1.0
0,20,72010,58,0,17,0.0,0.29310344827586204
0,20,72030,58,58,0,1.0,0.0
0,20,72670,58,58,0,1.0,0.0
0,20,74530,58,0,58,0.0,1.0
0,20,77350,58,22,0,0.3793103448275862,0.0
0,20,77410,58,0,1,0.0,0.017241379310344827
0,20,77510,58,0,1,0.0,0.017241379310344827
0,20,79360,58,0,58,0.0,1.0
0,20,79740,58,58,0,1.0,0.0
0,20,80010,58,58,0,1.0,0.0
0,20,80310,58,54,0,0.9310344827586207,0.0
0,20,80350,58,0,58,0.0,1.0
0,20,80580,58,58,0,1.0,0.0
0,20,81360,58,0,58,0.0,1.0
0,20,83060,58,0,44,0.0,0.7586206896551724
0,20,83160,58,0,36,0.0,0.6206896551724138
0,20,84110,58,0,58,0.0,1.0
0,20,87250,58,0,0,0.0,0.0
0,20,87660,58,58,0,1.0,0.0
0,20,91010,58,0,0,0.0,0.0
0,20,91040,58,0,0,0.0,0.0
0,20,91070,58,0,0,0.0,0.0
0,20,94320,58,54,0,0.9310344827586207,0.0
0,20,94330,58,0,0,0.0,0.0
0,20,95010,58,0,0,0.0,0.0
0,20,99830,58,0,0,0.0,0.0
0,20,99840,58,58,0,1.0,0.0
1,20,24320,57,0,0,0.0,0.0
1,20,29140,57,0,0,0.0,0.0
1,20,33500,57,0,57,0.0,1.0
1,20,33820,57,0,0,0.0,0.0
1,20,40630,57,57,0,1.0,0.0
1,20,43850,57,0,57,0.0,1.0
1,20,45020,57,57,0,1.0,0.0
1,20,45190,57,57,0,1.0,0.0
1,20,45680,57,0,57,0.0,1.0
1,20,46610,57,0,57,0.0,1.0
1,20,47550,57,0,0,0.0,0.0
1,20,54010,57,57,0,1.0,0.0
1,20,58010,57,57,0,1.0,0.0
1,20,58030,57,0,0,0.0,0.0
1,20,60980,57,0,0,0.0,0.0
1,20,61460,57,0,56,0.0,0.9824561403508771
1,20,62730,57,0,0,0.0,0.0
1,20,63670,57,0,0,0.0,0.0
1,20,65010,57,57,0,1.0,0.0
1,20,65030,57,0,57,0.0,1.0
1,20,65260,57,0,0,0.0,0.0
1,20,65940,57,0,57,0.0,1.0
1,20,67010,57,0,57,0.0,1.0
1,20,67020,57,0,0,0.0,0.0
1,20,67230,57,57,0,1.0,0.0
1,20,67580,57,0,0,0.0,0.0
1,20,67620,57,1,0,0.017543859649122806,0.0
1,20,68570,57,57,0,1.0,0.0
1,20,68610,57,0,57,0.0,1.0
1,20,69020,57,57,0,1.0,0.0
1,20,69200,57,0,0,0.0,0.0
1,20,69540,57,57,0,1.0,0.0
1,20,69810,57,0,57,0.0,1.0
1,20,70030,57,57,0,1.0,0.0
1,20,70110,57,0,1,0.0,0.017543859649122806
1,20,70120,57,0,0,0.0,0.0
1,20,70130,57,0,0,0.0,0.0
1,20,72010,57,57,0,1.0,0.0
1,20,72030,57,0,57,0.0,1.0
1,20,72670,57,57,0,1.0,0.0
1,20,74530,57,0,57,0.0,1.0
1,20,77350,57,0,0,0.0,0.0
1,20,77410,57,57,0,1.0,0.0
1,20,77510,57,0,57,0.0,1.0
1,20,79360,57,0,0,0.0,0.0
1,20,79740,57,0,57,0.0,1.0
1,20,80010,57,13,0,0.22807017543859648,0.0
1,20,80310,57,0,57,0.0,1.0
1,20,80350,57,0,0,0.0,0.0
1,20,80580,57,0,0,0.0,0.0
1,20,81360,57,0,57,0.0,1.0
1,20,83060,57,57,0,1.0,0.0
1,20,83160,57,57,0,1.0,0.0
1,20,84110,57,0,0,0.0,0.0
1,20,87250,57,0,57,0.0,1.0
1,20,87660,57,43,0,0.7543859649122807,0.0
1,20,91010,57,0,0,0.0,0.0
1,20,91040,57,0,0,0.0,0.0
1,20,91070,57,0,57,0.0,1.0
1,20,94320,57,57,0,1.0,0.0
1,20,94330,57,57,0,1.0,0.0
1,20,95010,57,0,57,0.0,1.0
1,20,99830,57,57,0,1.0,0.0
1,20,99840,57,0,57,0.0,1.0
0,32,24320,58,0,58,0.0,1.0
0,32,29140,58,58,0,1.0,0.0
0,32,33500,58,2,56,0.034482758620689655,0.9655172413793104
0,32,33820,58,58,0,1.0,0.0
0,32,40630,58,58,0,1.0,0.0
0,32,43850,58,0,58,0.0,1.0
0,32,45020,58,0,58,0.0,1.0
0,32,45190,58,55,3,0.9482758620689655,0.05172413793103448
0,32,45680,58,0,58,0.0,1.0
0,32,46610,58,58,0,1.0,0.0
0,32,47550,58,58,0,1.0,0.0
0,32,54010,58,58,0,1.0,0.0
0,32,58010,58,12,46,0.20689655172413793,0.7931034482758621
0,32,58030,58,58,0,1.0,0.0
0,32,60980,58,58,0,1.0,0.0
0,32,61460,58,0,58,0.0,1.0
0,32,62730,58,0,58,0.0,1.0
0,32,63670,58,0,58,0.0,1.0
0,32,65010,58,58,0,1.0,0.0
0,32,65030,58,58,0,1.0,0.0
0,32,65260,58,0,58,0.0,1.0
0,32,65940,58,0,58,0.0,1.0
0,32,67010,58,58,0,1.0,0.0
0,32,67020,58,58,0,1.0,0.0
0,32,67230,58,0,58,0.0,1.0
0,32,67580,58,0,58,0.0,1.0
0,32,67620,58,55,3,0.9482758620689655,0.05172413793103448
0,32,68570,58,58,0,1.0,0.0
0,32,68610,58,58,0,1.0,0.0
0,32,69020,58,0,58,0.0,1.0
0,32,69200,58,58,0,1.0,0.0
0,32,69540,58,0,58,0.0,1.0
0,32,69810,58,58,0,1.0,0.0
0,32,70030,58,0,58,0.0,1.0
0,32,70110,58,1,57,0.017241379310344827,0.9827586206896551
0,32,70120,58,0,58,0.0,1.0
0,32,70130,58,0,58,0.0,1.0
0,32,72010,58,0,58,0.0,1.0
0,32,72030,58,58,0,1.0,0.0
0,32,72670,58,58,0,1.0,0.0
0,32,74530,58,0,58,0.0,1.0
0,32,77350,58,58,0,1.0,0.0
0,32,77410,58,47,11,0.8103448275862069,0.1896551724137931
0,32,77510,58,0,58,0.0,1.0
0,32,79360,58,0,58,0.0,1.0
0,32,79740,58,58,0,1.0,0.0
0,32,80010,58,58,0,1.0,0.0
0,32,80310,58,58,0,1.0,0.0
