Code,count_total,count_valid,missing_rate,zero_rate_valid,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,skew,kurtosis_excess,iqr_outlier_rate,abs_z_gt_3_rate,annualized_volatility
47550,485,485,0.0,0.006185567010309278,-0.00018686096063339795,0.02551506243055621,-0.17261090874671936,-0.08457696676254273,-0.03408974260091781,-0.012533956207334995,-0.00022079929476603866,0.012946910224854946,0.0361341007053851,0.07159544318914408,0.09763496369123459,-0.7508547551412176,7.035099398872511,0.049484536082474224,0.02268041237113402,0.40503905926523387
54010,485,485,0.0,0.012371134020618556,-0.00039547827078591187,0.01608387913743474,-0.11312883347272873,-0.0449562706053257,-0.024608833715319633,-0.009075106121599674,0.0,0.008295809850096703,0.021174994856119147,0.039649664461612666,0.07168202847242355,-0.8726045981934369,7.405015023271105,0.03711340206185567,0.01443298969072165,0.2553236658892343
58010,485,485,0.0,0.006185567010309278,0.005174197909511031,0.04671492347500146,-0.2033843994140625,-0.1056228867173195,-0.06855347156524658,-0.019456837326288223,0.0021959932055324316,0.029866542667150497,0.07851660400629025,0.15062436461448644,0.20585206151008606,0.43520801618193733,2.695257327519929,0.0577319587628866,0.016494845360824743,0.7415764201816029
58030,485,485,0.0,0.004123711340206186,0.004502586765363621,0.04669574794518968,-0.21190837025642395,-0.11562201976776124,-0.06603271663188934,-0.020745625719428062,0.004365457687526941,0.03090026043355465,0.07425183951854696,0.11656428605318,0.17975719273090363,-0.290446304748606,3.0529926254589768,0.03505154639175258,0.01443298969072165,0.7412720180827636
60980,485,485,0.0,0.004123711340206186,0.0005878339592846274,0.029922109207390662,-0.11271514743566513,-0.077191641330719,-0.04700291529297829,-0.015899639576673508,-0.00030698388582095504,0.016550211235880852,0.04573920741677282,0.0781847739219662,0.1533653438091278,0.3191090462564041,3.7885355711810265,0.04536082474226804,0.016494845360824743,0.4749987579916302
61460,485,485,0.0,0.004123711340206186,0.00011731209257406365,0.03963192390387584,-0.17072981595993042,-0.09366000711917877,-0.06348491162061691,-0.02314622327685356,-0.0007447403040714562,0.023813113570213318,0.06046715006232254,0.11101751595735546,0.1576324999332428,-0.03104867076270424,1.6852767471464718,0.026804123711340205,0.010309278350515464,0.6291372877721496
62730,485,485,0.0,0.008247422680412371,-0.0002708050140333314,0.02582876112520366,-0.15763814747333527,-0.07254752427339554,-0.04159556776285171,-0.013001056388020515,0.0,0.013322534039616585,0.04140558689832684,0.06673366487026207,0.08812165260314941,-0.4111300330158504,3.7668584026491176,0.05360824742268041,0.012371134020618556,0.4100188716610903
63670,485,485,0.0,0.006185567010309278,3.0328533684201156e-05,0.021848899124183915,-0.12162882834672928,-0.05649313122034073,-0.032373125106096266,-0.010525061748921871,-0.00030326005071401596,0.011049835942685604,0.0329058863222599,0.06621370404958722,0.08697022497653961,-0.19679754893441753,4.526490500929313,0.04742268041237113,0.020618556701030927,0.3468405210187655
65010,485,485,0.0,0.008247422680412371,0.0009689199663494647,0.03026101344858866,-0.13737230002880096,-0.08929280042648316,-0.04355089664459228,-0.014606554061174393,-0.00020364524971228093,0.016155440360307693,0.04640545174479483,0.07579649269580822,0.15372668206691742,0.060560171223492186,4.3950415250599315,0.05360824742268041,0.018556701030927835,0.4803786960344799
65030,485,485,0.0,0.008247422680412371,0.0018069774222370602,0.02585972265552518,-0.14371292293071747,-0.06396436601877213,-0.03548138439655304,-0.01034005731344223,0.00017201341688632965,0.014229824766516685,0.044695238023996296,0.06864043563604336,0.13258853554725647,0.014514971433007322,4.73951281416243,0.06597938144329897,0.01443298969072165,0.41051037071773466
