Code,observations,date_start,date_end,close_mean,close_median,volume_mean,volume_median,zero_volume_rate,return_observations,return_mean,return_std,return_skew,return_kurtosis_excess,return_p01,return_p05,return_median,return_p95,return_p99,abs_return_gt_10pct_rate
69260,486,2024-05-31,2026-05-29,213.5761316872428,208.0,31164.814814814814,14850.0,0.0,485,-5.133515798294254e-05,0.017108054559234035,3.663103040155489,90.28230632124404,-0.035989454064187215,-0.013966950799061094,0.0,0.014514097085373476,0.03010023198632792,0.004123711340206186
69270,486,2024-05-31,2026-05-29,956.0637860082304,919.0,175562.96296296295,102400.0,0.0,485,0.0015040764352029503,0.026098887444933362,3.7170860980287292,36.219916722732606,-0.05836908672271559,-0.025963777829654155,0.0,0.028430425354363104,0.08564938443132561,0.010309278350515464
69280,486,2024-05-31,2026-05-29,1830.6831275720165,1486.0,32866.87242798354,23450.0,0.0,485,0.001962338338395688,0.022570214898674463,-0.3391367621353933,8.691338168431077,-0.06476656495181683,-0.0263517133945804,0.000638365805272656,0.03611679192865828,0.07066435408010557,0.010309278350515464
69290,486,2024-05-31,2026-05-29,3043.9979423868313,2843.5,102404.73251028807,84850.0,0.0,485,0.0008947897315829422,0.015113528827154209,0.32775541933815155,3.4089698627393306,-0.03679111034941279,-0.022932130236862133,0.0011310086031270927,0.023390775777554745,0.047815276950531366,0.0
69300,358,2024-05-31,2025-11-19,702.5754189944134,697.0,15284.078212290502,6500.0,0.0,357,0.0009561466483059187,0.025408423298176948,1.1092986236543323,7.557143845353467,-0.07411726897120868,-0.03181440261605299,0.0,0.03940046846740586,0.10573961345993421,0.014005602240896359
69320,486,2024-05-31,2026-05-29,1918.4135802469136,2041.5,61546.50205761317,44450.0,0.0,485,0.0009338965595179099,0.02461638960925855,-1.6643092565996673,13.681851297491354,-0.07489042447604966,-0.030072649010720553,0.0006449532632464283,0.0354458458178809,0.0612962018892775,0.008247422680412371
69370,382,2024-05-31,2025-12-19,1370.5549738219895,1381.0,105408.11518324607,59200.0,0.0,381,0.0003502069404161011,0.011743541911757947,11.549999150409471,188.65116825400608,-0.02820373771924718,-0.006509968741227112,0.0,0.005059642163581124,0.019970036606032325,0.0026246719160104987
69380,32,2024-05-31,2024-07-16,478.5625,478.0,24309.375,12750.0,0.0,31,-6.72744029361833e-05,0.0017175612626067062,0.0629034426264212,0.42359581707617977,-0.003549719463173684,-0.002089864919458506,0.0,0.002089864919458506,0.0035497194631736824,0.0
69410,486,2024-05-31,2026-05-29,4077.740740740741,2905.0,285411.52263374487,229300.0,0.0,485,0.0019088593416520718,0.035537577690064985,0.21045071794520934,5.545269377571392,-0.10433152770841979,-0.05041958042276775,0.002242153405689784,0.056041613649609204,0.1019618017861021,0.030927835051546393
69420,486,2024-05-31,2026-05-29,1153.5781893004116,1123.0,6462.962962962963,4550.0,0.0,485,0.0004870840568715744,0.012239515960833143,-1.6812765781190837,17.642523973474958,-0.04610646499795031,-0.013817821485759293,0.0,0.014636551000329767,0.034167475381613334,0.0
